sample_key,metal,site,analyst,conc_dil_error,conc_blanked,conc_blanked_error,conc_unblanked,conc_unblanked_error
18,Cd114,D,SJB,14.385115897801215,221.91622196700047,41763.244576572826,243.38877741361497,42180.87244807545
18,Cr52,D,SJB,10.748915313248043,14546.218716390811,31208.645823504517,16260.715938460664,31520.67081110898
18,Cr53,D,SJB,74.12642240778916,14921.656782557759,215206.07817916555,16662.615718913337,217358.1161928127
18,Pb208,D,SJB,8.542311809583008,122285.29295136589,25041.124665293137,124842.15072244954,25201.864118292135
19,As75,QC,SJB,24.0387731750021,10711.208924988776,70702.86062018093,10959.335656826666,71409.71327206057
19,Cd111,QC,SJB,35.67085714836705,2401.1412969529124,104914.3006294661,2440.327976593662,105963.44250429224
19,Cd114,QC,SJB,1.4196063793867406,2540.3570924236233,4175.742616123984,2585.2657349176397,4217.45844577612
19,Cr52,QC,SJB,1.4018505018165128,43722.750568613956,4239.659594911239,45749.52337110022,4286.971180809647
19,Cr53,QC,SJB,2.7683934562574044,44930.35360569368,8205.637775778529,46992.20660006532,8289.98261208263
19,Pb208,QC,SJB,5.926787524097089,1262492.7591618453,33135.32311992078,1276469.1295668192,33420.21570956859
21,As75,D,MD,91.62483369849994,1636.7470158871622,290761.77571090346,1805.262805670054,293669.34100445703
21,Cd111,D,MD,313.6746696575703,143.59237861886191,995413.3971464841,161.40171782842842,1005367.5309589513
21,Cd114,D,MD,15.255931601782713,138.77845273307477,48413.09061585878,161.21131321155212,48897.21677905152
21,Cr52,D,MD,4.740782361910987,7818.859297011592,15046.274042779518,9612.094224432227,15196.035551767145
21,Cr53,D,MD,37.67317211099597,7937.7025538702555,119552.10501712807,9756.946347075243,120747.50473986792
21,Pb208,D,MD,11.170736783839773,316526.7140902955,36088.12695459148,321150.1259269993,36377.18383411429
22,As75,E,SEP,30.764053401843658,5292.153055660864,84601.36756446102,5476.9232770372555,85447.24923105174
22,Cd111,E,SEP,65.86897703189113,117.97110954587133,181139.687511335,133.33969497892085,182951.08373124324
22,Cd114,E,SEP,4.709891946642493,160.15648713366093,12952.216619941613,179.99529392274215,13081.725523129004
22,Cr52,E,SEP,2.3173107795202057,25484.704400412418,6400.860835551337,27225.77629692467,6466.0845593470995
22,Cr53,E,SEP,10.267653468245452,26272.29901498921,28242.92014687322,28042.75574866335,28525.547301909584
22,Pb208,E,SEP,5.359945997400284,122796.1289296624,15139.335924593492,125287.68924944618,15157.831034501443
23,As75,QC,SEP,7.466862019080198,15612.52334705197,31311.380364429704,15969.68070220724,31623.693846089696
23,Cd111,QC,SEP,88.21075271796879,2672.4602071923405,369865.5339808527,2720.8188466951174,373564.18865610636
23,Cd114,QC,SEP,9.009552372173863,2929.0427401396964,37776.906311057166,2986.1398254123765,38154.66590776508
23,Cr52,QC,SEP,3.4819285572033083,66602.24937331316,14685.747356836473,69534.34620986022,14836.446792899447
23,Cr53,QC,SEP,39.31612649654845,67887.52033332389,164859.5391105957,70865.264880841,166508.4505989509
23,Pb208,QC,SEP,27.18233461983607,1349033.6903933778,118368.02389534858,1364450.659958419,119522.97850074875
24,As75,C,SGB,49.87877584287082,6014.282608379633,145592.9706149269,6214.373626921737,147048.81409719505
24,Cd111,C,SGB,115.57443449495145,204.66257549230852,337354.06157781,221.76970206993644,340727.60179906717
24,Cd114,C,SGB,7.021395434413457,325.170662045488,20494.99545600189,347.7799294118572,20699.93604323932
